Date,Order ID,Customer ID,Product ID,Product Category,Product Name,Quantity,Unit Price,Total Amount,Payment Method,Region,Customer Type
15-01-2025,ORD001,CUST101,PROD-A1,Software,Enterprise Analytics Suite,2,599.99,1199.98,Credit Card,North America,Enterprise
15-01-2025,ORD002,CUST102,PROD-B2,Cloud Services,Cloud Storage Premium,5,99.99,499.95,PayPal,Europe,Small Business
16-01-2025,ORD003,CUST101,PROD-C3,Security,Advanced Firewall Pro,1,899.99,899.99,Credit Card,North America,Enterprise
16-01-2025,ORD004,CUST103,PROD-A1,Software,Enterprise Analytics Suite,3,599.99,1799.97,Bank Transfer,Asia,Enterprise
17-01-2025,ORD005,CUST104,PROD-D4,AI Solutions,AI Chatbot Platform,2,799.99,1599.98,Credit Card,Europe,Mid-Market
18-01-2025,ORD006,CUST105,PROD-E5,DevOps Tools,CI/CD Pipeline Manager,4,299.99,1199.96,PayPal,North America,Small Business
19-01-2025,ORD007,CUST106,PROD-B2,Cloud Services,Cloud Storage Premium,10,99.99,999.90,Credit Card,Asia,Mid-Market
20-01-2025,ORD008,CUST107,PROD-F6,Database,Enterprise Database System,1,1499.99,1499.99,Bank Transfer,Europe,Enterprise
21-01-2025,ORD009,CUST108,PROD-G7,API Services,API Gateway Professional,3,399.99,1199.97,Credit Card,North America,Mid-Market
22-01-2025,ORD010,CUST109,PROD-H8,Machine Learning,ML Model Training Suite,2,999.99,1999.98,PayPal,Asia,Enterprise
23-01-2025,ORD011,CUST110,PROD-I9,Analytics,Data Visualization Pro,5,199.99,999.95,Credit Card,Europe,Small Business
24-01-2025,ORD012,CUST101,PROD-J10,Security,Endpoint Protection Suite,2,399.99,799.98,Bank Transfer,North America,Enterprise
25-01-2025,ORD013,CUST111,PROD-K11,Cloud Services,Serverless Computing Platform,3,299.99,899.97,Credit Card,Asia,Mid-Market
26-01-2025,ORD014,CUST112,PROD-L12,DevOps Tools,Container Orchestration Pro,1,599.99,599.99,PayPal,Europe,Small Business
27-01-2025,ORD015,CUST113,PROD-M13,AI Solutions,AI Image Recognition API,4,699.99,2799.96,Credit Card,North America,Enterprise
28-01-2025,ORD016,CUST114,PROD-N14,Database,NoSQL Database Service,2,899.99,1799.98,Bank Transfer,Asia,Mid-Market
29-01-2025,ORD017,CUST115,PROD-O15,API Services,API Testing Suite,5,199.99,999.95,Credit Card,Europe,Small Business
30-01-2025,ORD018,CUST116,PROD-P16,Machine Learning,Deep Learning Framework,1,1299.99,1299.99,PayPal,North America,Enterprise
31-01-2025,ORD019,CUST117,PROD-Q17,Analytics,Real-time Analytics Engine,3,799.99,2399.97,Credit Card,Asia,Mid-Market
01-02-2025,ORD020,CUST118,PROD-R18,Security,Cloud Security Suite,2,599.99,1199.98,Bank Transfer,Europe,Enterprise
15-02-2025,ORD021,CUST101,PROD-A1,Software,Enterprise Analytics Suite,1,599.99,599.99,Credit Card,North America,Enterprise
01-03-2025,ORD022,CUST102,PROD-B2,Cloud Services,Cloud Storage Premium,8,99.99,799.92,PayPal,Europe,Small Business
15-03-2025,ORD023,CUST103,PROD-C3,Security,Advanced Firewall Pro,2,899.99,1799.98,Bank Transfer,Asia,Enterprise
01-04-2025,ORD024,CUST104,PROD-D4,AI Solutions,AI Chatbot Platform,3,799.99,2399.97,Credit Card,Europe,Mid-Market
15-04-2025,ORD025,CUST105,PROD-E5,DevOps Tools,CI/CD Pipeline Manager,5,299.99,1499.95,PayPal,North America,Small Business
01-05-2025,ORD026,CUST106,PROD-B2,Cloud Services,Cloud Storage Premium,15,99.99,1499.85,Credit Card,Asia,Mid-Market
15-05-2025,ORD027,CUST107,PROD-F6,Database,Enterprise Database System,2,1499.99,2999.98,Bank Transfer,Europe,Enterprise
01-06-2025,ORD028,CUST108,PROD-G7,API Services,API Gateway Professional,4,399.99,1599.96,Credit Card,North America,Mid-Market
15-06-2025,ORD029,CUST109,PROD-H8,Machine Learning,ML Model Training Suite,3,999.99,2999.97,PayPal,Asia,Enterprise
01-07-2025,ORD030,CUST110,PROD-I9,Analytics,Data Visualization Pro,6,199.99,1199.94,Credit Card,Europe,Small Business
15-07-2025,ORD031,CUST101,PROD-J10,Security,Endpoint Protection Suite,3,399.99,1199.97,Bank Transfer,North America,Enterprise
01-08-2025,ORD032,CUST111,PROD-K11,Cloud Services,Serverless Computing Platform,4,299.99,1199.96,Credit Card,Asia,Mid-Market
15-08-2025,ORD033,CUST112,PROD-L12,DevOps Tools,Container Orchestration Pro,2,599.99,1199.98,PayPal,Europe,Small Business
01-09-2025,ORD034,CUST113,PROD-M13,AI Solutions,AI Image Recognition API,5,699.99,3499.95,Credit Card,North America,Enterprise
15-09-2025,ORD035,CUST114,PROD-N14,Database,NoSQL Database Service,3,899.99,2699.97,Bank Transfer,Asia,Mid-Market
01-10-2025,ORD036,CUST115,PROD-O15,API Services,API Testing Suite,7,199.99,1399.93,Credit Card,Europe,Small Business
15-10-2025,ORD037,CUST116,PROD-P16,Machine Learning,Deep Learning Framework,2,1299.99,2599.98,PayPal,North America,Enterprise
20-10-2025,ORD038,CUST117,PROD-Q17,Analytics,Real-time Analytics Engine,4,799.99,3199.96,Credit Card,Asia,Mid-Market
25-10-2025,ORD039,CUST118,PROD-R18,Security,Cloud Security Suite,3,599.99,1799.97,Bank Transfer,Europe,Enterprise
29-10-2025,ORD040,CUST101,PROD-A1,Software,Enterprise Analytics Suite,2,599.99,1199.98,Credit Card,North America,Enterprise
